expiration,strike,option_type,bid,ask,last,volume
2025-06-25,10.0,call,9.1,13.35,11.0,1.0
2025-06-25,11.0,call,8.1,12.35,8.2,1.0
2025-06-25,11.5,call,7.6,11.85,10.23,1.0
2025-06-25,12.0,call,7.1,11.35,9.68,2.0
2025-06-25,12.5,call,8.65,9.0,8.45,1.0
2025-06-25,13.5,call,7.65,8.0,6.45,
2025-06-25,14.0,call,7.05,7.4,6.85,31.0
2025-06-25,14.5,call,6.8,7.02,6.45,193.0
2025-06-25,15.0,call,6.15,6.44,6.31,15.0
2025-06-25,16.0,call,5.2,5.55,4.45,2.0
2025-06-25,17.0,call,4.3,4.38,3.6,36.0
2025-06-25,18.0,call,3.2,3.55,3.0,496.0
2025-06-25,19.0,call,2.49,2.5,2.5,286.0
2025-06-25,20.0,call,1.66,1.8,1.74,1855.0
2025-06-25,21.0,call,1.3,1.4,1.34,1246.0
2025-06-25,22.0,call,0.94,1.0,0.97,812.0
2025-06-25,23.0,call,0.69,0.78,0.66,394.0
2025-06-25,24.0,call,0.56,0.7,0.57,544.0
2025-06-25,25.0,call,0.49,0.59,0.55,740.0
2025-06-25,26.0,call,0.41,0.53,0.45,21.0
2025-06-25,27.0,call,0.34,0.46,0.27,25.0
2025-06-25,28.0,call,0.3,0.39,0.28,579.0
2025-06-25,29.0,call,0.26,0.34,0.28,47.0
2025-06-25,30.0,call,0.24,0.3,0.25,1425.0
2025-06-25,31.0,call,0.19,0.27,0.17,65.0
2025-06-25,32.0,call,0.18,0.26,0.16,4.0
2025-06-25,33.0,call,0.15,0.24,0.17,15.0
2025-06-25,34.0,call,0.13,0.2,0.14,33.0
2025-06-25,35.0,call,0.13,0.19,0.08,142.0
2025-06-25,36.0,call,0.09,0.17,0.08,8.0
2025-06-25,37.0,call,0.08,0.12,0.1,7.0
2025-06-25,38.0,call,0.08,0.14,0.08,51.0
2025-06-25,39.0,call,0.07,0.15,0.19,1.0
2025-06-25,40.0,call,0.06,0.1,0.08,286.0
2025-06-25,42.5,call,0.05,0.1,0.05,35.0
2025-06-25,45.0,call,0.03,0.1,0.05,58.0
2025-06-25,47.5,call,0.03,0.08,0.05,1.0
2025-06-25,50.0,call,0.03,0.08,0.05,29.0
2025-06-25,55.0,call,0.01,0.07,0.03,67.0
